Piatto;Ingrediente1;Ingrediente2;Ingrediente3;Ingrediente4;Ingrediente5;Ingrediente6;Ingrediente7
Marinara;Farina;pomodoro;origano;aglio;;;
Margherita;Farina;pomodoro;mozzarella;;;;
Pugliese;Farina;pomodoro;mozzarella;cipolla;;;
Napoli;Farina;pomodoro;mozzarella;acciughe;;;
Funghi;Farina;pomodoro;mozzarella;funghi;;;
Prosciutto cotto;Farina;pomodoro;mozzarella;prosciutto;;;
Carciofi;Farina;pomodoro;mozzarella;carciofi;;;
Romana;Farina;pomodoro;mozzarella;acciughe;capperi;olive;origano
Zola;Farina;pomodoro;mozzarella;zola;;;
Scamorza;Farina;pomodoro;scamorza;;;;
Prosciutto e funghi;Farina;pomodoro;mozzarella;prosciutto;funghi;;
Wurstel;Farina;pomodoro;mozzarella;Wurstel;;;
Quattro stagioni;Farina;pomodoro;mozzarella;prosciutto;carciofi;funghi;
Quattro formaggi;Farina;pomodoro;mozzarella;formaggi misti;;;
Rucola;Farina;pomodoro;mozzarella;rucola;;;
Arrabbiata;Farina;pomodoro;mozzarella;salame piccante;;;
Calzone;Farina;mozzarella;prosciutto;funghi;origano;;
alle Patatine;Farina;pomodoro;mozzarella;patate fritte;;;
Capricciosa;Farina;pomodoro;mozzarella;prosciutto;Olive;Funghi;carciofi
Tonno e cipolla;Farina;pomodoro;mozzarella;tonno;cipolla;;
Biancaneve;Farina;pomodoro;mozzarella;ricotta;spinaci;;
Bufala;Farina;pomodoro;mozzarella Bufala;;;;
dell'Orto;Farina;pomodoro;mozzarella;peperoni;melanzane;zucchine;
Monzese;Farina;pomodoro;mozzarella;salsiccia;origano;;
Prosciutto Crudo;Farina;pomodoro;mozzarella;prosciutto crudo;;;
alla Bismarck;Farina;pomodoro;mozzarella;asparagi;uovo;;
Speck e Zola;Farina;pomodoro;mozzarella;speck;zola;;
Contadino;Farina;pomodoro;mozzarella;zola;pancetta;;
Lodigiana;Farina;pomodoro;mozzarella;salsiccia;pomodorini;grana;
Frutti di mare;Farina;pomodoro;mozzarella;Frutti di mare;;;
Funghi Porcini;Farina;pomodoro;mozzarella;Porcini;;;
